13	10	E	-7164075.840730252	200
emissionprobs	4	3	H3k27acStdAlnRep1	1	0.00998618004158932
emissionprobs	4	4	H3k4me1StdAlnRep1	0	0.9833062731181155
emissionprobs	4	4	H3k4me1StdAlnRep1	1	0.016693726881884512
emissionprobs	4	5	H3k4me2StdAlnRep1	0	0.9496243466077099
emissionprobs	4	5	H3k4me2StdAlnRep1	1	0.050375653392290054
emissionprobs	4	6	H3k4me3StdAlnRep1	0	0.9159930601211184
emissionprobs	4	6	H3k4me3StdAlnRep1	1	0.08400693987888166
emissionprobs	4	7	H3k9acStdAlnRep1	0	0.9770247607428879
emissionprobs	4	7	H3k9acStdAlnRep1	1	0.022975239257112104
emissionprobs	4	8	H3k9me3StdAlnRep1	0	0.7379256379221245
emissionprobs	4	8	H3k9me3StdAlnRep1	1	0.26207436207787554
emissionprobs	4	9	H4k20me1StdAlnRep1	0	0.9253023090896206
emissionprobs	4	9	H4k20me1StdAlnRep1	1	0.07469769091037935
emissionprobs	5	0	CtcfStdAlnRep1	0	0.9919804703734489
emissionprobs	5	0	CtcfStdAlnRep1	1	0.008019529626550968
emissionprobs	5	1	Ezh239875AlnRep1	0	0.9864313837003326
emissionprobs	5	1	Ezh239875AlnRep1	1	0.013568616299667394
emissionprobs	5	2	H2azStdAlnRep1	0	0.9997712923903076
emissionprobs	5	2	H2azStdAlnRep1	1	2.2870760969244652E-4
emissionprobs	5	3	H3k27acStdAlnRep1	0	0.9969417499324047
emissionprobs	5	3	H3k27acStdAlnRep1	1	0.003058250067595294
emissionprobs	5	4	H3k4me1StdAlnRep1	0	0.9439090369984112
emissionprobs	5	4	H3k4me1StdAlnRep1	1	0.05609096300158875
emissionprobs	5	5	H3k4me2StdAlnRep1	0	0.9890492992173754
emissionprobs	5	5	H3k4me2StdAlnRep1	1	0.010950700782624662
emissionprobs	5	6	H3k4me3StdAlnRep1	0	0.9989104490511145
emissionprobs	5	6	H3k4me3StdAlnRep1	1	0.0010895509488854328
emissionprobs	5	7	H3k9acStdAlnRep1	0	0.9933076005998456
emissionprobs	5	7	H3k9acStdAlnRep1	1	0.0066923994001543766
emissionprobs	5	8	H3k9me3StdAlnRep1	0	0.9921904069375826
emissionprobs	5	8	H3k9me3StdAlnRep1	1	0.007809593062417313
emissionprobs	5	9	H4k20me1StdAlnRep1	0	0.8052192027682339
emissionprobs	5	9	H4k20me1StdAlnRep1	1	0.19478079723176617
emissionprobs	6	0	CtcfStdAlnRep1	0	0.9896758990942068
emissionprobs	6	0	CtcfStdAlnRep1	1	0.010324100905793276
emissionprobs	6	1	Ezh239875AlnRep1	0	0.9804079698201068
emissionprobs	6	1	Ezh239875AlnRep1	1	0.01959203017989315
emissionprobs	6	2	H2azStdAlnRep1	0	0.9731299840293511
emissionprobs	6	2	H2azStdAlnRep1	1	0.026870015970648895
emissionprobs	6	3	H3k27acStdAlnRep1	0	0.9754973515966255
emissionprobs	6	3	H3k27acStdAlnRep1	1	0.02450264840337447
emissionprobs	6	4	H3k4me1StdAlnRep1	0	0.6088401442639535
emissionprobs	6	4	H3k4me1StdAlnRep1	1	0.39115985573604656
emissionprobs	6	5	H3k4me2StdAlnRep1	0	0.9160448072198959
emissionprobs	6	5	H3k4me2StdAlnRep1	1	0.08395519278010408
emissionprobs	6	6	H3k4me3StdAlnRep1	0	0.996920974667396
emissionprobs	6	6	H3k4me3StdAlnRep1	1	0.0030790253326039825
emissionprobs	6	7	H3k9acStdAlnRep1	0	0.9870341587712057
emissionprobs	6	7	H3k9acStdAlnRep1	1	0.012965841228794385
emissionprobs	6	8	H3k9me3StdAlnRep1	0	0.9799028522486616
emissionprobs	6	8	H3k9me3StdAlnRep1	1	0.02009714775133844
emissionprobs	6	9	H4k20me1StdAlnRep1	0	0.9889548048930539
emissionprobs	6	9	H4k20me1StdAlnRep1	1	0.0110451951069461
emissionprobs	7	0	CtcfStdAlnRep1	0	0.9619473472278476
emissionprobs	7	0	CtcfStdAlnRep1	1	0.038052652772152425
emissionprobs	7	1	Ezh239875AlnRep1	0	0.9793263594162432
emissionprobs	7	1	Ezh239875AlnRep1	1	0.020673640583756866
emissionprobs	7	2	H2azStdAlnRep1	0	0.7824486236042074
emissionprobs	7	2	H2azStdAlnRep1	1	0.21755137639579264
emissionprobs	7	3	H3k27acStdAlnRep1	0	0.22058903514628692
emissionprobs	7	3	H3k27acStdAlnRep1	1	0.7794109648537131
emissionprobs	7	4	H3k4me1StdAlnRep1	0	0.35411442764878376
emissionprobs	7	4	H3k4me1StdAlnRep1	1	0.6458855723512161
emissionprobs	7	5	H3k4me2StdAlnRep1	0	0.6282769346925393
emissionprobs	7	5	H3k4me2StdAlnRep1	1	0.3717230653074607
emissionprobs	7	6	H3k4me3StdAlnRep1	0	0.9960717232052911
emissionprobs	7	6	H3k4me3StdAlnRep1	1	0.00392827679470882
emissionprobs	7	7	H3k9acStdAlnRep1	0	0.80935646684548
emissionprobs	7	7	H3k9acStdAlnRep1	1	0.19064353315451998
emissionprobs	7	8	H3k9me3StdAlnRep1	0	0.9783257991840052
emissionprobs	7	8	H3k9me3StdAlnRep1	1	0.021674200815994908
emissionprobs	7	9	H4k20me1StdAlnRep1	0	0.981054929308273
emissionprobs	7	9	H4k20me1StdAlnRep1	1	0.018945070691726962
emissionprobs	8	0	CtcfStdAlnRep1	0	0.9107688017708131
